Indicator,SpatialDimValueCode,Location,Period,Value,DateModified
Current health expenditure (CHE) per capita in US$,TJK,Tajikistan,2013,67.62,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,RUS,Russian Federation,2013,805.52,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LVA,Latvia,2013,807.13,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MCO,Monaco,2013,8455.66,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,POL,Poland,2013,878.09,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HRV,Croatia,2013,889.94,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NOR,Norway,2013,9241.27,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CHE,Switzerland,2013,9324.97,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LTU,Lithuania,2013,958.93,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HUN,Hungary,2013,990.63,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HRV,Croatia,2012,1029.97,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,EST,Estonia,2012,1058.72,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UZB,Uzbekistan,2012,127.94,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVK,Slovakia,2012,1319.44,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CZE,Czechia,2012,1509.78,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MLT,Malta,2012,1898.6,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CYP,Cyprus,2012,1899.37,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GRC,Greece,2012,1948.25,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVN,Slovenia,2012,1974.85,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,PRT,Portugal,2012,1980.02,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MDA,Republic of Moldova,2012,223.62,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AZE,Azerbaijan,2012,234.6,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISR,Israel,2012,2405.18,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ESP,Spain,2012,2590.74,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ALB,Albania,2012,260.68,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UKR,Ukraine,2012,270.76,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AND,Andorra,2012,2785.19,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TKM,Turkmenistan,2012,289.13,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ITA,Italy,2012,3086.3,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MKD,North Macedonia,2012,317.98,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ARM,Armenia,2012,331.91,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GEO,Georgia,2012,345.6,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BLR,Belarus,2012,364.1,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KAZ,Kazakhstan,2012,365.04,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISL,Iceland,2012,3784.38,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ROU,Romania,2012,401.67,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GBR,United Kingdom of Great Britain and Northern Ireland,2012,4217.25,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SMR,San Marino,2012,4310.1,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BIH,Bosnia and Herzegovina,2012,444.94,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FIN,Finland,2012,4573.2,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FRA,France,2012,4644.6,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BEL,Belgium,2012,4704.68,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DEU,Germany,2012,4765.68,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AUT,Austria,2012,4966.1,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TUR,Türkiye,2012,520.44,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,IRL,Ireland,2012,5210.36,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NLD,Netherlands (Kingdom of the),2012,5284.65,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MNE,Montenegro,2012,535.16,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BGR,Bulgaria,2012,558.65,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SRB,Serbia,2012,559.91,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TJK,Tajikistan,2012,56.97,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LUX,Luxembourg,2012,6029.47,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DNK,Denmark,2012,6168.34,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SWE,Sweden,2012,6254.44,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LVA,Latvia,2012,745.52,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,RUS,Russian Federation,2012,755.49,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MCO,Monaco,2012,7868.83,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,POL,Poland,2012,815.14,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CHE,Switzerland,2012,8929.33,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LTU,Lithuania,2012,896.94,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NOR,Norway,2012,8970.12,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HUN,Hungary,2012,961.14,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KGZ,Kyrgyzstan,2012,98.67,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,EST,Estonia,2011,1061.16,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HUN,Hungary,2011,1063.43,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UZB,Uzbekistan,2011,109.86,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HRV,Croatia,2011,1132.5,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVK,Slovakia,2011,1352.44,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CZE,Czechia,2011,1649.16,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AZE,Azerbaijan,2011,184.93,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MLT,Malta,2011,1960.06,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CYP,Cyprus,2011,2114.67,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MDA,Republic of Moldova,2011,214.98,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVN,Slovenia,2011,2147.81,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,PRT,Portugal,2011,2255.97,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GRC,Greece,2011,2338.92,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UKR,Ukraine,2011,240.18,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISR,Israel,2011,2442.29,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TKM,Turkmenistan,2011,251.86,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ALB,Albania,2011,273.75,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ESP,Spain,2011,2908.92,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KAZ,Kazakhstan,2011,293.73,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GEO,Georgia,2011,312.97,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BLR,Belarus,2011,317.82,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ARM,Armenia,2011,325.29,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MKD,North Macedonia,2011,335.13,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ITA,Italy,2011,3391.99,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AND,Andorra,2011,3550.91,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISL,Iceland,2011,3937.32,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GBR,United Kingdom of Great Britain and Northern Ireland,2011,4140.36,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ROU,Romania,2011,426.6,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SMR,San Marino,2011,4550.35,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BIH,Bosnia and Herzegovina,2011,456.97,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FIN,Finland,2011,4717.51,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TJK,Tajikistan,2011,48.84,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BEL,Belgium,2011,4929.2,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FRA,France,2011,4931.88,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DEU,Germany,2011,5037.49,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AUT,Austria,2011,5167.82,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TUR,Türkiye,2011,525.89,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,IRL,Ireland,2011,5545.76,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BGR,Bulgaria,2011,555.86,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NLD,Netherlands (Kingdom of the),2011,5562.12,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MNE,Montenegro,2011,571.66,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SRB,Serbia,2011,618.89,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SWE,Sweden,2011,6351.22,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DNK,Denmark,2011,6438.21,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,RUS,Russian Federation,2011,681.05,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LUX,Luxembourg,2011,7174.74,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LVA,Latvia,2011,764.59,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KGZ,Kyrgyzstan,2011,78.74,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MCO,Monaco,2011,8302.79,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,POL,Poland,2011,866.09,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NOR,Norway,2011,8900.37,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CHE,Switzerland,2011,9204.88,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LTU,Lithuania,2011,925.47,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HRV,Croatia,2010,1126.37,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVK,Slovakia,2010,1296.54,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CZE,Czechia,2010,1509.45,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AZE,Azerbaijan,2010,153.07,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MLT,Malta,2010,1733.67,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MDA,Republic of Moldova,2010,198.29,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UKR,Ukraine,2010,199.5,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVN,Slovenia,2010,2017.15,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TKM,Turkmenistan,2010,202.78,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CYP,Cyprus,2010,2045.29,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISR,Israel,2010,2237.91,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,PRT,Portugal,2010,2259.3,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KAZ,Kazakhstan,2010,240.61,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ALB,Albania,2010,253.98,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GRC,Greece,2010,2564.37,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ESP,Spain,2010,2789.64,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GEO,Georgia,2010,285.15,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ARM,Armenia,2010,291.78,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MKD,North Macedonia,2010,308.09,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ITA,Italy,2010,3217.68,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AND,Andorra,2010,3277.79,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BLR,Belarus,2010,341.14,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISL,Iceland,2010,3614.04,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SMR,San Marino,2010,3813.88,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GBR,United Kingdom of Great Britain and Northern Ireland,2010,3892.38,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BIH,Bosnia and Herzegovina,2010,406.13,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TJK,Tajikistan,2010,42.29,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FIN,Finland,2010,4251.53,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SWE,Sweden,2010,4416.15,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BEL,Belgium,2010,4530.06,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FRA,France,2010,4592.38,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DEU,Germany,2010,4611.42,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ROU,Romania,2010,472.21,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AUT,Austria,2010,4800.79,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BGR,Bulgaria,2010,484.75,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,IRL,Ireland,2010,5133.46,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NLD,Netherlands (Kingdom of the),2010,5191.69,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TUR,Türkiye,2010,531.83,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SRB,Serbia,2010,545.33,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,RUS,Russian Federation,2010,564.3,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KGZ,Kyrgyzstan,2010,60.68,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DNK,Denmark,2010,6171.29,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LVA,Latvia,2010,689.08,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LUX,Luxembourg,2010,7459.84,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CHE,Switzerland,2010,7695.69,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NOR,Norway,2010,7859.52,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MCO,Monaco,2010,8016.67,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LTU,Lithuania,2010,805.22,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,POL,Poland,2010,809.2,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UZB,Uzbekistan,2010,92.87,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,EST,Estonia,2010,966.19,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HUN,Hungary,2010,983.11,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,EST,Estonia,2009,1006.51,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HRV,Croatia,2009,1187.55,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVK,Slovakia,2009,1320.09,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AZE,Azerbaijan,2009,135.4,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CZE,Czechia,2009,1442.24,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UKR,Ukraine,2009,165.99,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MLT,Malta,2009,1677.36,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TKM,Turkmenistan,2009,178.45,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISR,Israel,2009,2034.46,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MDA,Republic of Moldova,2009,208.53,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CYP,Cyprus,2009,2105.48,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVN,Slovenia,2009,2125.06,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,PRT,Portugal,2009,2346.54,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ALB,Albania,2009,236.94,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KAZ,Kazakhstan,2009,241,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ARM,Armenia,2009,247.91,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AND,Andorra,2009,2663.37,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GEO,Georgia,2009,270.22,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GRC,Greece,2009,2809.06,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BLR,Belarus,2009,288.45,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ESP,Spain,2009,2937.72,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MKD,North Macedonia,2009,297.88,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ITA,Italy,2009,3337.75,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISL,Iceland,2009,3622.98,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TJK,Tajikistan,2009,38.92,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GBR,United Kingdom of Great Britain and Northern Ireland,2009,3829.68,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BIH,Bosnia and Herzegovina,2009,409.29,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SWE,Sweden,2009,4136.17,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SMR,San Marino,2009,4242.5,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FIN,Finland,2009,4349.9,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ROU,Romania,2009,449.38,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BGR,Bulgaria,2009,459.3,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BEL,Belgium,2009,4637.45,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DEU,Germany,2009,4674.92,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FRA,France,2009,4737.58,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TUR,Türkiye,2009,492.3,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AUT,Austria,2009,4928.99,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,RUS,Russian Federation,2009,513.91,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NLD,Netherlands (Kingdom of the),2009,5282.74,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,IRL,Ireland,2009,5502.89,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SRB,Serbia,2009,575.26,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KGZ,Kyrgyzstan,2009,59.94,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DNK,Denmark,2009,6221.69,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UZB,Uzbekistan,2009,71.96,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CHE,Switzerland,2009,7297.38,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NOR,Norway,2009,7301.96,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LVA,Latvia,2009,744.66,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,POL,Poland,2009,759.61,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LUX,Luxembourg,2009,7670.59,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MCO,Monaco,2009,8157.44,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LTU,Lithuania,2009,864.74,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HUN,Hungary,2009,943.69,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,EST,Estonia,2008,1082.15,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AZE,Azerbaijan,2008,111.88,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HUN,Hungary,2008,1117.2,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVK,Slovakia,2008,1251.68,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HRV,Croatia,2008,1258.87,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CZE,Czechia,2008,1449.34,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MLT,Malta,2008,1751.17,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MDA,Republic of Moldova,2008,185.56,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UKR,Ukraine,2008,212.75,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISR,Israel,2008,2126.11,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CYP,Cyprus,2008,2155.25,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVN,Slovenia,2008,2179.45,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TKM,Turkmenistan,2008,235.92,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ALB,Albania,2008,237.1,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,PRT,Portugal,2008,2391.98,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KAZ,Kazakhstan,2008,245.79,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ARM,Armenia,2008,261.6,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AND,Andorra,2008,2774.93,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GEO,Georgia,2008,281.85,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GRC,Greece,2008,2840.51,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ESP,Spain,2008,2995.19,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MKD,North Macedonia,2008,313.61,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BLR,Belarus,2008,348.93,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ITA,Italy,2008,3504.11,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TJK,Tajikistan,2008,41.35,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GBR,United Kingdom of Great Britain and Northern Ireland,2008,4301.42,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SMR,San Marino,2008,4378.25,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FIN,Finland,2008,4486.34,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BGR,Bulgaria,2008,455.54,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BIH,Bosnia and Herzegovina,2008,459.29,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SWE,Sweden,2008,4627.56,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BEL,Belgium,2008,4652.55,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DEU,Germany,2008,4669.76,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISL,Iceland,2008,4749.68,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FRA,France,2008,4807.37,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AUT,Austria,2008,5057.76,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ROU,Romania,2008,521.32,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NLD,Netherlands (Kingdom of the),2008,5382.45,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TUR,Türkiye,2008,561.74,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,IRL,Ireland,2008,5638.78,2024-12-10T00:00:00.000Z
